birth_id,line_id,number,sex,dob,source,litter_id,ear_mark,sire,dam,generation,gt_app,gt_ps1,gt_aqp4,gt_cagegfp,genotype,genotype_status,status,status_date,notes
5xfad-59,5xfad,59,M,2024-03-20,in_house,,,WT,5xFAD 4,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（本実験） tag:Punch
5xfad-60,5xfad,60,M,2024-03-20,in_house,,,WT,5xFAD 4,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（本実験） tag:Punch
5xfad-61,5xfad,61,F,2024-03-20,in_house,,,WT,5xFAD 4,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:Punch
5xfad-62,5xfad,62,F,2024-03-25,in_house,,,5ｘFAD-2,WT,2,,,,,,pending,sacrificed,,tag:Punch
5xfad-63,5xfad,63,F,2024-03-25,in_house,,,5ｘFAD-2,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（本実験） tag:Punch
5xfad-64,5xfad,64,F,2024-03-25,in_house,,,5ｘFAD-2,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（本実験） tag:Punch
5xfad-65,5xfad,65,F,2024-03-25,in_house,,,5ｘFAD-2,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:Punch
5xfad-66,5xfad,66,F,2024-03-25,in_house,,,5ｘFAD-2,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:Punch
5xfad-67,5xfad,67,M,2024-04-10,in_house,,,WT,5xFAD,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,AQP4KO実験用 tag:Punch
5xfad-68,5xfad,68,M,2024-04-10,in_house,,,WT,5xFAD,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,AQP4KO実験用 tag:Punch
5xfad-69,5xfad,69,M,2024-04-10,in_house,,,WT,5xFAD,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:Punch
5xfad-70,5xfad,70,M,2024-04-10,in_house,,,WT,5xFAD,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:Punch
5xfad-71,5xfad,71,M,2024-04-10,in_house,,,WT,5xFAD,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（本実験） tag:Punch
5xfad-72,5xfad,72,M,2024-04-10,in_house,,,WT,5xFAD,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（本実験） tag:Punch
5xfad-73,5xfad,73,M,2024-03-25,in_house,,,5ｘFAD-2,WT,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,Suntory（本実験） tag:Punch
5xfad-74,5xfad,74,M,2024-03-25,in_house,,,5ｘFAD-2,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:Punch
5xfad-75,5xfad,75,M,2024-03-25,in_house,,,5ｘFAD-2,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,右耳がくぼみのある形、8（切れ込み２つ）に見えるかもしれない tag:Punch
5xfad-76,5xfad,76,M,2024-03-25,in_house,,,5ｘFAD-2,WT,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:Punch
5xfad-77,5xfad,77,F,2024-04-10,in_house,,,WT,5xFAD,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（本実験） tag:Punch
5xfad-78,5xfad,78,F,2024-04-10,in_house,,,WT,5xFAD,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,Suntory（本実験） tag:Punch
5xfad-79,5xfad,79,F,2024-04-10,in_house,,,WT,5xFAD,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,Suntory（本実験） tag:Punch
5xfad-80,5xfad,80,F,2024-04-10,in_house,,,WT,5xFAD,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,AQP4KO実験用 tag:Punch
5xfad-81,5xfad,81,F,2024-04-10,in_house,,,WT,5xFAD,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,Suntory（本実験） tag:Punch
5xfad-82,5xfad,82,M,2024-04-22,in_house,,,WT,5xFAD,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:Punch
5xfad-83,5xfad,83,M,2024-04-22,in_house,,,WT,5xFAD,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:Punch
5xfad-84,5xfad,84,F,2024-04-22,in_house,,,WT,5xFAD,2,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:Punch
5xfad-85,5xfad,85,F,2024-04-22,in_house,,,WT,5xFAD,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,AQP4KO実験用 tag:Punch
5xfad-86,5xfad,86,F,2024-04-22,in_house,,,WT,5xFAD,2,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,AQP4KO実験用 tag:Punch
5xfad-87,5xfad,87,M,2024-11-14,in_house,,,5xFAD-74,WT-69,3,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,alive,,tag:Punch
5xfad-88,5xfad,88,M,2024-11-14,in_house,,,5xFAD-74,WT-69,3,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,alive,,tag:Punch
5xfad-89,5xfad,89,M,2024-11-14,in_house,,,5xFAD-74,WT-69,3,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,alive,,tag:Punch
5xfad-90,5xfad,90,M,2024-11-14,in_house,,,5xFAD-74,WT-69,3,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,alive,,tag:Punch
5xfad-91,5xfad,91,F,2024-11-14,in_house,,,5xFAD-74,WT-69,3,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:Punch
5xfad-92,5xfad,92,F,2024-11-14,in_house,,,5xFAD-74,WT-69,3,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:Punch
5xfad-93,5xfad,93,F,2024-11-14,in_house,,,5xFAD-74,WT-69,3,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:Punch
5xfad-94,5xfad,94,F,2024-11-28,in_house,,,5xFAD-82,WT-70,3,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:Punch
5xfad-95,5xfad,95,F,2024-11-28,in_house,,,5xFAD-82,WT-70,3,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,tag:Punch
5xfad-96,5xfad,96,F,2024-11-28,in_house,,,5xFAD-82,WT-70,3,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,→Nuriya G tag:Punch
5xfad-97,5xfad,97,F,2024-11-28,in_house,,,5xFAD-82,WT-70,3,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,sacrificed,,→Nuriya G tag:Punch
5xfad-98,5xfad,98,F,2024-11-28,in_house,,,5xFAD-82,WT-70,3,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,→Nuriya G tag:Punch
5xfad-99,5xfad,99,F,2024-11-28,in_house,,,5xFAD-82,WT-70,3,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,→Nuriya G tag:Punch
5xfad-100,5xfad,100,M,2024-11-28,in_house,,,5xFAD-82,WT-70,3,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:Punch
5xfad-101,5xfad,101,M,2024-11-28,in_house,,,5xFAD-82,WT-70,3,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:Punch
5xfad-102,5xfad,102,M,2025-04-23,in_house,,,5xFAD-90,5xFAD-94(WT),4,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,alive,,tag:Punch
5xfad-103,5xfad,103,M,2025-04-23,in_house,,,5xFAD-90,5xFAD-94(WT),4,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,sacrificed,,tag:Punch
5xfad-104,5xfad,104,M,2025-04-23,in_house,,,5xFAD-90,5xFAD-94(WT),4,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,alive,,tag:Punch
5xfad-105,5xfad,105,F,2025-04-23,in_house,,,5xFAD-90,5xFAD-94(WT),4,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,alive,,tag:Punch
5xfad-106,5xfad,106,F,2025-04-23,in_house,,,5xFAD-90,5xFAD-94(WT),4,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,alive,,→Nuriya G tag:Punch
5xfad-107,5xfad,107,F,2025-04-23,in_house,,,5xFAD-90,5xFAD-94(WT),4,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,alive,,→Nuriya G tag:Punch
5xfad-108,5xfad,108,M,2025-04-23,in_house,,,5xFAD-90,5xFAD-95(WT),4,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,alive,,tag:Punch
5xfad-109,5xfad,109,M,2025-04-23,in_house,,,5xFAD-90,5xFAD-95(WT),4,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,alive,,tag:Punch
5xfad-110,5xfad,110,M,2025-04-23,in_house,,,5xFAD-90,5xFAD-95(WT),4,+/-,+/-,,,APP:+/-; PS1:+/-,confirmed,alive,,tag:Punch
5xfad-111,5xfad,111,F,2025-04-23,in_house,,,5xFAD-90,5xFAD-95(WT),4,-/-,-/-,,,APP:-/-; PS1:-/-,confirmed,alive,,tag:Punch
5xfad_aqp4ko-1,5xfad_aqp4ko,1,M,2023-04-17,in_house,,,5 x FAD x AQP4KO,AQP4KO,1,+/-,+/-,-,,APP:+/-; PS1:+/-; AQP4:-,confirmed,sacrificed,,阿部先生から譲渡(生年月日はオス？)
5xfad_aqp4ko-2,5xfad_aqp4ko,2,M,2023-12-06,in_house,,,5 x FAD x AQP4KO 1,AQP4KO 11,2,-/-,-/-,-,,APP:-/-; PS1:-/-; AQP4:-,confirmed,sacrificed,,tag:Punch
5xfad_aqp4ko-3,5xfad_aqp4ko,3,F,2023-12-06,in_house,,,5 x FAD x AQP4KO 1,AQP4KO 11,2,-/-,-/-,-,,APP:-/-; PS1:-/-; AQP4:-,confirmed,sacrificed,,tag:Punch
5xfad_aqp4ko-4,5xfad_aqp4ko,4,F,2023-12-06,in_house,,,5 x FAD x AQP4KO 1,AQP4KO 11,2,-/-,-/-,-,,APP:-/-; PS1:-/-; AQP4:-,confirmed,sacrificed,,tag:Punch
5xfad_aqp4ko-5,5xfad_aqp4ko,5,M,2023-12-21,in_house,,,5 x FAD x AQP4KO 1,AQP4KO 12,2,-/-,-/-,-,,APP:-/-; PS1:-/-; AQP4:-,confirmed,sacrificed,,tag:Punch
5xfad_aqp4ko-6,5xfad_aqp4ko,6,M,2023-12-21,in_house,,,5 x FAD x AQP4KO 1,AQP4KO 12,2,-/-,-/-,-,,APP:-/-; PS1:-/-; AQP4:-,confirmed,sacrificed,,tag:Punch
5xfad_aqp4ko-7,5xfad_aqp4ko,7,F,2023-12-21,in_house,,,5 x FAD x AQP4KO 1,AQP4KO 12,2,+/-,+/-,-,,APP:+/-; PS1:+/-; AQP4:-,confirmed,sacrificed,,suntory tag:Punch
5xfad_aqp4ko-8,5xfad_aqp4ko,8,F,2023-12-21,in_house,,,5 x FAD x AQP4KO 1,AQP4KO 12,2,+/-,+/-,-,,APP:+/-; PS1:+/-; AQP4:-,confirmed,sacrificed,,suntory tag:Punch
5xfad_aqp4ko-9,5xfad_aqp4ko,9,M,2024-02-14,in_house,,,5 x FAD x AQP4KO 1,AQP4KO 12,2,-/-,-/-,-,,APP:-/-; PS1:-/-; AQP4:-,confirmed,sacrificed,,tag:Punch
5xfad_aqp4ko-10,5xfad_aqp4ko,10,M,2024-02-14,in_house,,,5 x FAD x AQP4KO 1,AQP4KO 12,2,+/-,+/-,-,,APP:+/-; PS1:+/-; AQP4:-,confirmed,sacrificed,,suntory←最後 tag:Punch
5xfad_aqp4ko-11,5xfad_aqp4ko,11,M,2024-02-14,in_house,,,5 x FAD x AQP4KO 1,AQP4KO 12,2,+/-,+/-,-,,APP:+/-; PS1:+/-; AQP4:-,confirmed,sacrificed,,suntory tag:Punch
5xfad_aqp4ko-12,5xfad_aqp4ko,12,M,2024-02-14,in_house,,,5 x FAD x AQP4KO 1,AQP4KO 12,2,+/-,+/-,-,,APP:+/-; PS1:+/-; AQP4:-,confirmed,sacrificed,,suntory tag:Punch
5xfad_aqp4ko-13,5xfad_aqp4ko,13,M,2024-02-14,in_house,,,5 x FAD x AQP4KO 1,AQP4KO 11,2,-/-,-/-,-,,APP:-/-; PS1:-/-; AQP4:-,confirmed,sacrificed,,tag:Punch
5xfad_aqp4ko-14,5xfad_aqp4ko,14,F,2024-02-14,in_house,,,5 x FAD x AQP4KO 1,AQP4KO 11,2,-/-,-/-,-,,APP:-/-; PS1:-/-; AQP4:-,confirmed,sacrificed,,tag:Punch
